"wpid_random","wgt","account","sex","educ","inc_q","inlf","age_g","internetaccess"
207314182,0.920480011011819,1,"Male","primary","Poorest 20%",0,"30-44",0
168043962,0.485576306125984,1,"Female","primary","Fourth 20%",1,"45-59",0
171174564,0.900977792497348,0,"Male","primary","Fourth 20%",1,"60 and older",0
194307517,0.940342014458488,1,"Male","secondary","Middle 20%",1,"15-29",1
112427229,0.526551240275483,1,"Male","secondary","Poorest 20%",1,"30-44",0
115142953,1.03159736751972,1,"Female","primary","Middle 20%",0,"45-59",0
127438942,0.988322288101889,1,"Female","primary","Middle 20%",1,"15-29",1
180340086,0.549179944882248,1,"Male","tertiary","Richest 20%",1,"15-29",1
170338799,1.6122774820485,1,"Male","primary","Second 20%",1,"30-44",0
207770950,0.918699181357765,1,"Male","primary","Second 20%",1,"45-59",0
210379816,0.336404053237946,0,"Male","secondary","Richest 20%",1,"45-59",0
172540952,0.336404053237946,1,"Male","secondary","Richest 20%",1,"45-59",1
204403199,0.699480168886744,1,"Female","tertiary","Middle 20%",1,"15-29",0
133169868,0.63105981651739,1,"Male","secondary","Poorest 20%",1,"15-29",0
173590288,2.41692670492018,1,"Male","secondary","Second 20%",1,"60 and older",1
183965795,0.812649398845855,1,"Female","primary","Fourth 20%",0,"45-59",0
136717710,0.4111732469073,1,"Male","secondary","Fourth 20%",0,"15-29",1
111463977,0.381704840302847,1,"Male","tertiary","Fourth 20%",1,"15-29",1
123124802,0.779742077828717,1,"Male","tertiary","Fourth 20%",0,"30-44",1
133026811,1.90937543674577,1,"Female","primary","Richest 20%",1,"30-44",0
114599036,0.896494537052156,0,"Female","primary","Second 20%",0,"30-44",0
194507749,2.00895765927454,0,"Female","primary","Middle 20%",0,"15-29",0
131376590,1.55718452935426,1,"Male","primary","Fourth 20%",1,"15-29",1
206513775,2.41692670492018,0,"Male","primary","Second 20%",0,"60 and older",0
175732507,0.485576306125984,1,"Female","primary","Middle 20%",0,"45-59",0
112434109,0.650441365492656,1,"Female","primary","Middle 20%",1,"45-59",0
134704806,0.89926045072996,1,"Male","secondary","Second 20%",1,"15-29",1
135336847,0.272410368917806,1,"Male","secondary","Middle 20%",0,"45-59",0
116441633,1.19281498037057,0,"Male","tertiary","Richest 20%",0,"15-29",1
154286900,0.896494537052156,1,"Female","primary","Poorest 20%",0,"30-44",0
189975880,1.17444161275327,1,"Female","primary","Richest 20%",1,"15-29",1
158122628,1.104905417939,0,"Male","primary","Richest 20%",0,"30-44",0
111179675,0.935628202888797,1,"Female","primary","Poorest 20%",0,"60 and older",0
187992961,0.888165035019093,1,"Male","primary","Second 20%",1,"45-59",0
133161121,1.1837594080716,1,"Male","secondary","Richest 20%",1,"15-29",1
144464338,0.671811034424159,1,"Male","secondary","Second 20%",0,"60 and older",0
124915923,1.39869062162443,0,"Female","primary","Middle 20%",1,"30-44",0
163318566,0.922293506812283,1,"Female","secondary","Poorest 20%",0,"15-29",0
113246976,0.953204181330267,0,"Female","primary","Fourth 20%",0,"15-29",0
116654448,0.857737742150099,1,"Male","primary","Middle 20%",0,"60 and older",0
177274705,1.05534123765775,1,"Male","primary","Middle 20%",1,"45-59",0
206034978,0.217430070409543,1,"Male","secondary","Fourth 20%",1,"45-59",1
188528378,0.482512438330979,1,"Male","secondary","Poorest 20%",1,"45-59",0
176820122,0.505652142110442,1,"Male","tertiary","Middle 20%",1,"30-44",1
135606820,0.387444939888058,1,"Female","secondary","Fourth 20%",0,"30-44",0
164247038,1.23260498580809,0,"Female","primary","Second 20%",0,"15-29",0
164776381,0.786743929332297,1,"Female","secondary","Poorest 20%",1,"15-29",1
178776398,0.718240667770176,1,"Female","primary","Middle 20%",1,"15-29",0
121385815,0.960745059397341,1,"Male","primary","Second 20%",1,"30-44",0
111639900,2.28841700150344,0,"Male","primary","Fourth 20%",1,"45-59",1
177969734,1.32468849107587,1,"Male","primary","Fourth 20%",1,"45-59",1
190763723,0.232983125819988,1,"Male","secondary","Poorest 20%",0,"30-44",0
139483698,2.41692670492018,1,"Female","primary","Second 20%",0,"15-29",0
120536621,0.539225851024112,0,"Female","secondary","Second 20%",0,"30-44",0
177731015,1.60407898349842,1,"Male","primary","Middle 20%",1,"15-29",1
201233884,0.732077714170641,1,"Male","primary","Middle 20%",1,"30-44",0
129022860,0.940061670912805,0,"Male","secondary","Fourth 20%",0,"15-29",0
140570411,0.764162724686979,1,"Female","primary","Second 20%",1,"30-44",0
114911975,1.16254662164968,1,"Male","primary","Poorest 20%",1,"45-59",0
141949779,0.485576306125984,1,"Female","primary","Middle 20%",0,"45-59",0
112276215,0.383377935501138,1,"Male","secondary","Richest 20%",1,"15-29",1
117811036,0.728364459188976,1,"Female","primary","Fourth 20%",0,"45-59",0
210313935,1.76017404584326,1,"Female","primary","Second 20%",0,"15-29",0
176818272,0.631731273262867,1,"Male","primary","Second 20%",1,"45-59",0
173887124,2.41692670492018,1,"Female","secondary","Fourth 20%",0,"15-29",0
196609188,0.865472617628513,1,"Female","primary","Second 20%",1,"30-44",1
182286563,0.932460414416288,1,"Female","primary","Poorest 20%",1,"15-29",0
186048620,0.987798819203823,1,"Female","primary","Second 20%",0,"15-29",1
118587695,0.858730812292141,1,"Female","primary","Richest 20%",1,"45-59",0
140543861,2.11023270648742,0,"Female","primary","Middle 20%",0,"15-29",0
152314856,0.60501065446921,1,"Male","secondary","Richest 20%",1,"30-44",1
162905326,0.714568354468113,1,"Male","primary","Second 20%",1,"60 and older",0
143728807,0.376136805783395,1,"Male","secondary","Middle 20%",1,"15-29",1
195755792,0.355603005565889,1,"Female","secondary","Middle 20%",1,"30-44",0
202107759,0.843080156275865,0,"Female","primary","Second 20%",1,"30-44",0
162174512,1.2962444243108,1,"Male","primary","Second 20%",1,"30-44",0
208858585,1.09898207690302,1,"Female","primary","Poorest 20%",1,"15-29",0
211051693,1.08120069424229,1,"Male","primary","Middle 20%",0,"30-44",0
165274239,0.918331439256147,1,"Female","primary","Fourth 20%",1,"30-44",1
156705764,0.60501065446921,1,"Male","secondary","Fourth 20%",1,"30-44",1
144888697,0.858730812292141,1,"Female","primary","Poorest 20%",1,"45-59",1
202674044,0.79773912620139,1,"Male","tertiary","Poorest 20%",1,"15-29",1
185317643,0.321674958887319,1,"Male","secondary","Second 20%",0,"45-59",0
149369293,0.803493981705082,1,"Female","primary","Second 20%",0,"30-44",0
125315559,1.32933969067903,1,"Female","primary","Fourth 20%",0,"30-44",0
172159071,0.448538737650595,1,"Male","secondary","Richest 20%",1,"45-59",0
111188442,1.45872804480341,1,"Male","secondary","Middle 20%",1,"15-29",1
136852428,0.217430070409543,1,"Female","tertiary","Fourth 20%",1,"15-29",1
194700132,0.411884958661686,0,"Male","secondary","Richest 20%",1,"15-29",0
117693239,1.51685163357886,1,"Male","secondary","Richest 20%",1,"30-44",1
172585960,0.453485897204007,1,"Male","secondary","Middle 20%",1,"30-44",1
